,Date,Gold,Silver,SP500,Median Home Price (NSA),Oil,bonds10Y,Inflation percentile,Growth percentile
12529,2015-01-05,1192.0,15.88,2033.0909090909092,201269.70727272728,4464876.588235294,2.04,-30.98501872659176,-15.02996254681648
12530,2015-01-06,1211.0,16.29,2035.5463636363636,201226.45636363636,4476962.882352941,1.97,-30.97752808988764,-15.044943820224718
12531,2015-01-07,1213.75,16.33,2038.0018181818182,201183.20545454547,4489049.176470588,1.96,-30.970037453183522,-15.059925093632959
12532,2015-01-08,1206.5,16.37,2040.4572727272728,201139.95454545456,4501135.470588235,2.03,-30.9625468164794,-15.074906367041198
12533,2015-01-09,1211.25,16.24,2042.9127272727274,201096.70363636364,4513221.764705882,1.98,-30.95505617977528,-15.089887640449438
12534,2015-01-12,1222.0,16.52,2045.3681818181817,201053.45272727273,4525308.05882353,1.92,-30.94756554307116,-15.104868913857677
12535,2015-01-13,1239.0,17.0,2047.8236363636363,201010.20181818184,4537394.352941177,1.91,-30.94007490636704,-15.119850187265918
12536,2015-01-14,1228.75,16.64,2050.279090909091,200966.95090909093,4549480.647058823,1.86,-30.93258426966292,-15.134831460674157
12537,2015-01-15,1235.25,17.12,2052.7345454545452,200923.7,4561566.94117647,1.77,-30.925093632958802,-15.149812734082397
12538,2015-01-16,1258.25,16.92,2055.19,201005.60478260872,4573653.235294118,1.83,-30.917602996254683,-15.164794007490636
12539,2015-01-19,1275.5,17.65,2057.6454545454544,201087.5095652174,4585739.529411765,1.8250000000000002,-30.910112359550563,-15.179775280898877
12540,2015-01-20,1292.25,17.8,2060.100909090909,201169.4143478261,4597825.823529412,1.82,-30.90262172284644,-15.194756554307116
12541,2015-01-21,1298.0,18.22,2062.5563636363636,201251.3191304348,4609912.117647059,1.87,-30.89513108614232,-15.209737827715356
12542,2015-01-22,1287.0,18.08,2065.011818181818,201333.22391304348,4621998.411764706,1.9,-30.8876404494382,-15.224719101123595
12543,2015-01-23,1293.5,18.23,2067.4672727272728,201415.12869565218,4634084.705882353,1.81,-30.880149812734082,-15.239700374531836
12544,2015-01-26,1282.75,17.83,2069.922727272727,201497.03347826088,4646171.0,1.83,-30.872659176029963,-15.254681647940075
12545,2015-01-27,1279.0,17.87,2072.3781818181815,201578.9382608696,4658257.294117647,1.83,-30.865168539325843,-15.269662921348315
12546,2015-01-28,1287.0,18.01,2074.8336363636363,201660.84304347826,4670343.588235294,1.73,-30.857677902621724,-15.284644194756554
12547,2015-01-29,1275.5,17.43,2077.2890909090906,201742.74782608697,4682429.882352941,1.77,-30.850187265917604,-15.299625468164795
12548,2015-01-30,1263.5,16.92,2079.7445454545455,201824.65260869567,4694516.176470588,1.68,-30.84269662921348,-15.314606741573034
14382,2015-02-01,1268.875,17.07,2082.2,201906.55739130435,4706602.470588235,1.68,-30.835205992509362,-15.329588014981274
12549,2015-02-02,1274.25,17.22,2082.0995454545455,201988.46217391305,4718688.764705882,1.68,-30.827715355805243,-15.344569288389513
12550,2015-02-03,1281.0,17.59,2081.9990909090907,202070.36695652176,4730775.05882353,1.79,-30.820224719101123,-15.359550561797754
12551,2015-02-04,1269.25,17.39,2081.8986363636363,202152.27173913043,4742861.352941177,1.81,-30.812734082397004,-15.374531835205993
12552,2015-02-05,1263.75,17.0,2081.7981818181815,202234.17652173914,4754947.647058823,1.83,-30.805243445692884,-15.389513108614231
12553,2015-02-06,1264.0,17.22,2081.697727272727,202316.08130434784,4767033.94117647,1.95,-30.797752808988765,-15.404494382022472
12554,2015-02-09,1242.25,16.97,2081.5972727272724,202397.98608695655,4779120.235294118,1.96,-30.790262172284645,-15.41947565543071
12555,2015-02-10,1237.5,16.8,2081.496818181818,202479.89086956522,4791206.529411765,2.01,-30.782771535580526,-15.434456928838951
12556,2015-02-11,1235.5,16.95,2081.3963636363633,202561.79565217393,4803292.823529412,2.0,-30.775280898876403,-15.44943820224719
12557,2015-02-12,1225.25,16.89,2081.295909090909,202643.70043478263,4815379.117647059,1.99,-30.767790262172284,-15.464419475655431
12558,2015-02-13,1225.75,16.86,2081.195454545454,202725.6052173913,4827465.411764706,2.02,-30.760299625468164,-15.47940074906367
14740,2015-02-15,1229.625,17.064999999999998,2081.095,202807.51,4839551.705882353,2.06,-30.752808988764045,-15.49438202247191
12559,2015-02-16,1233.5,17.27,2080.9945454545455,202928.0881818182,4851638.0,2.1,-30.745318352059925,-15.50936329588015
12560,2015-02-17,1221.75,16.82,2080.8940909090907,203048.66636363638,4863724.294117647,2.14,-30.737827715355806,-15.52434456928839
12561,2015-02-18,1206.5,16.42,2080.7936363636363,203169.24454545457,4875810.588235294,2.07,-30.730337078651687,-15.539325842696629
12562,2015-02-19,1217.75,16.73,2080.6931818181815,203289.82272727272,4887896.882352941,2.11,-30.722846441947567,-15.55430711610487
12563,2015-02-20,1203.5,16.34,2080.592727272727,203410.4009090909,4899983.176470588,2.13,-30.715355805243444,-15.569288389513108
12564,2015-02-23,1193.5,16.2,2080.4922727272724,203530.9790909091,4912069.470588235,2.06,-30.707865168539325,-15.584269662921349
12565,2015-02-24,1195.5,16.32,2080.391818181818,203651.55727272728,4924155.764705882,1.99,-30.700374531835205,-15.599250936329588
12566,2015-02-25,1206.5,16.51,2080.2913636363633,203772.13545454547,4936242.05882353,1.96,-30.692883895131086,-15.614232209737828
12567,2015-02-26,1220.0,16.82,2080.190909090909,203892.71363636365,4948328.352941177,2.03,-30.685393258426966,-15.629213483146067
12568,2015-02-27,1205.0,16.53,2080.090454545454,204013.29181818184,4960414.647058823,2.0,-30.677902621722847,-15.644194756554308
14383,2015-03-01,1210.875,16.58,2079.99,204133.87,4972500.94117647,2.04,-30.670411985018728,-15.659176029962547
12569,2015-03-02,1216.75,16.63,2080.609583333333,204254.44818181818,4984587.235294118,2.08,-30.662921348314608,-15.674157303370787
12570,2015-03-03,1207.75,16.42,2081.2291666666665,204375.02636363637,4996673.529411765,2.12,-30.655430711610485,-15.689138576779026
12571,2015-03-04,1204.25,16.32,2081.8487499999997,204495.60454545455,5008759.823529412,2.12,-30.647940074906366,-15.704119850187267
12572,2015-03-05,1199.75,16.19,2082.4683333333332,204616.18272727274,5020846.117647059,2.11,-30.640449438202246,-15.719101123595506
12573,2015-03-06,1196.5,15.99,2083.0879166666664,204736.76090909092,5032932.411764706,2.24,-30.632958801498127,-15.734082397003746
12574,2015-03-09,1173.75,15.92,2083.7075,204857.3390909091,5045018.705882353,2.2,-30.625468164794007,-15.749063670411985
12575,2015-03-10,1161.0,15.78,2084.327083333333,204977.9172727273,5057105.0,2.14,-30.617977528089888,-15.764044943820224
12576,2015-03-11,1158.75,15.64,2084.9466666666667,205098.49545454545,5069191.294117647,2.11,-30.61048689138577,-15.779026217228465
12577,2015-03-12,1161.25,15.68,2085.56625,205219.07363636364,5081277.588235294,2.1,-30.60299625468165,-15.794007490636703
12578,2015-03-13,1156.5,15.5,2086.1858333333334,205339.65181818182,5093363.882352941,2.13,-30.59550561797753,-15.808988764044944
14741,2015-03-15,1156.75,15.54,2086.8054166666666,205460.23,5105450.176470588,2.115,-30.588014981273407,-15.823970037453183
12579,2015-03-16,1157.0,15.58,2087.425,205552.16391304348,5117536.470588235,2.1,-30.580524344569287,-15.838951310861423
12580,2015-03-17,1154.75,15.56,2088.0445833333333,205644.09782608697,5129622.764705882,2.06,-30.573033707865168,-15.853932584269662
12581,2015-03-18,1149.0,15.47,2088.6641666666665,205736.03173913044,5141709.05882353,1.93,-30.56554307116105,-15.868913857677903
12582,2015-03-19,1164.0,15.88,2089.28375,205827.9656521739,5153795.352941177,1.98,-30.55805243445693,-15.883895131086142
12583,2015-03-20,1171.75,16.17,2089.903333333333,205919.8995652174,5165881.647058824,1.93,-30.55056179775281,-15.898876404494382
12584,2015-03-23,1181.4,16.73,2090.522916666667,206011.83347826087,5177967.94117647,1.92,-30.54307116104869,-15.913857677902621
12585,2015-03-24,1193.25,16.97,2091.1425,206103.76739130434,5190054.235294118,1.88,-30.53558052434457,-15.928838951310862
12586,2015-03-25,1192.55,16.94,2091.7620833333335,206195.70130434784,5202140.529411765,1.93,-30.528089887640448,-15.9438202247191
12587,2015-03-26,1209.4,17.13,2092.3816666666667,206287.6352173913,5214226.823529412,2.01,-30.52059925093633,-15.958801498127341
12588,2015-03-27,1198.0,17.14,2093.0012500000003,206379.56913043477,5226313.117647059,1.95,-30.51310861423221,-15.97378277153558
12589,2015-03-30,1187.4,16.65,2093.6208333333334,206471.50304347827,5238399.411764706,1.96,-30.50561797752809,-15.98876404494382
12590,2015-03-31,1179.25,16.6,2094.240416666667,206563.43695652173,5250485.705882353,1.94,-30.49812734082397,-16.00374531835206
12591,2015-04-01,1181.25,16.56,2094.86,206655.37086956523,5262572.0,1.87,-30.49063670411985,-16.0187265917603
12592,2015-04-02,1201.5,16.84,2095.636363636364,206747.3047826087,5246124.359375,1.92,-30.48314606741573,-16.03370786516854
16389,2015-04-03,1203.8333333333333,16.846666666666668,2096.4127272727274,206839.23869565217,5229676.71875,1.85,-30.475655430711612,-16.04868913857678
16390,2015-04-06,1206.1666666666667,16.85333333333333,2097.189090909091,206931.17260869566,5213229.078125,1.92,-30.468164794007492,-16.06367041198502
12593,2015-04-07,1208.5,16.86,2097.9654545454546,207023.10652173913,5196781.4375,1.89,-30.46067415730337,-16.078651685393258
12594,2015-04-08,1211.1,16.84,2098.7418181818184,207115.0404347826,5180333.796875,1.92,-30.45318352059925,-16.0936329588015
12595,2015-04-09,1196.0,16.3,2099.518181818182,207206.9743478261,5163886.15625,1.97,-30.44569288389513,-16.10861423220974
12596,2015-04-10,1201.9,16.55,2100.2945454545456,207298.90826086956,5147438.515625,1.96,-30.43820224719101,-16.123595505617978
12597,2015-04-13,1197.85,16.27,2101.070909090909,207390.84217391303,5130990.875,1.94,-30.43071161048689,-16.138576779026216
12598,2015-04-14,1191.45,16.08,2101.847272727273,207482.77608695652,5114543.234375,1.9,-30.423220973782772,-16.153558052434455
12599,2015-04-15,1189.85,16.18,2102.6236363636363,207574.71,5098095.59375,1.91,-30.415730337078653,-16.168539325842698
12600,2015-04-16,1204.6,16.47,2103.4,207713.63636363635,5081647.953125,1.9,-30.408239700374533,-16.183520599250937
12601,2015-04-17,1204.55,16.36,2104.176363636364,207852.5627272727,5065200.3125,1.87,-30.40074906367041,-16.198501872659175
12602,2015-04-20,1203.25,16.09,2104.9527272727273,207991.48909090908,5048752.671875,1.9,-30.39325842696629,-16.213483146067414
12603,2015-04-21,1197.7,16.08,2105.729090909091,208130.41545454544,5032305.03125,1.92,-30.38576779026217,-16.228464419475657
12604,2015-04-22,1202.4,16.05,2106.5054545454545,208269.3418181818,5015857.390625,1.99,-30.378277153558052,-16.243445692883896
12605,2015-04-23,1187.75,15.86,2107.2818181818184,208408.2681818182,4999409.75,1.96,-30.370786516853933,-16.258426966292134
12606,2015-04-24,1192.15,15.83,2108.0581818181818,208547.19454545455,4982962.109375,1.93,-30.363295880149813,-16.273408239700373
